TRIC.brac3,TRICHOPTERA,Brachycentridae,Eobrachycentrus
TRIC.brac4,TRICHOPTERA,Brachycentridae,unk
TRIC.glos1,TRICHOPTERA,Glossosomatidae,Glossosoma
TRIC.glos2,TRICHOPTERA,Glossosomatidae,Protoptilinae
TRIC.glos3,TRICHOPTERA,Glossosomatidae,unk
TRIC.hydp1,TRICHOPTERA,Hydropsychidae,Arctopsychinae
TRIC.hydp2,TRICHOPTERA,Hydropsychidae,Cheumatopsyche
TRIC.hydp3,TRICHOPTERA,Hydropsychidae,Hydropsyche
TRIC.hydp4,TRICHOPTERA,Hydropsychidae,Parapsyche
TRIC.hydp5,TRICHOPTERA,Hydropsychidae,Parapsyche.almota
TRIC.hydp6,TRICHOPTERA,Hydropsychidae,unk
TRIC.hydt1,TRICHOPTERA,Hydroptilidae,Hydroptila
TRIC.hydt2,TRICHOPTERA,Hydroptilidae,Ochrotrichia
TRIC.hydt3,TRICHOPTERA,Hydroptilidae,unk
TRIC.lepi,TRICHOPTERA,Lepidostomatidae,Lepidostoma
TRIC.lept1,TRICHOPTERA,Leptoceridae,Mystacides.alafimbriata
TRIC.lept2,TRICHOPTERA,Leptoceridae,Nectopsyche
TRIC.limn1,TRICHOPTERA,Limnephilidae,Psychoglypha
TRIC.limn2,TRICHOPTERA,Limnephilidae,unk
TRIC.poly,TRICHOPTERA,Polycentropodidae,Polycentropus
TRIC.rhya1,TRICHOPTERA,Rhyacophilidae,Rhyacophila
TRIC.rhya2,TRICHOPTERA,Rhyacophilidae,Rhyacophila.bettini
TRIC.rhya3,TRICHOPTERA,Rhyacophilidae,Ryacophila.brunnea.vemna
TRIC.rhya4,TRICHOPTERA,Rhyacophilidae,Rhyacophila.sibirica
TRIC.unk,TRICHOPTERA,unk,unk
TRLD.unk,TRICLADIDA,Planariidae ,planaria
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
