"","species","CAP1","CAP2","CAP3","CAP4","CAP5"
"35","Ceratopsyche amblis",-0.0193528950594736,-0.0367703460300889,-0.012686432491985,-0.0248803851386371,-0.0221632454681535
"36","Zootermopsis angusticollis",-0.0193528950594736,-0.0367703460300889,-0.012686432491985,-0.0248803851386371,-0.0221632454681535
"37","Habrosyne scripta",-0.0193528950594737,-0.0367703460300889,-0.0126864324919855,-0.0248803851386364,-0.0221632454681532
"38","Hesperoperla pacifica",-0.0193528950594738,-0.0367703460300895,-0.0126864324919844,-0.0248803851386369,-0.0221632454681562
"39","Onocosmoecus unicolor",-0.0231372486846095,0.151672483199286,-0.229842571177292,0.0560400825425161,0.151933563615737
"40","Rhyacophila brunnea",-0.0287195883554205,0.035509629689517,0.033577083594783,0.0155094755945419,0.0294910173597007
"41","Tipula paludosa",-0.0287195883554205,0.035509629689517,0.033577083594783,0.0155094755945419,0.0294910173597007
"42","Carabus nemoralis",-0.0287195883554205,0.035509629689517,0.033577083594783,0.0155094755945419,0.0294910173597007
"43","Rhyacophila narvae",-0.0387057901189469,-0.0735406920601773,-0.0253728649839696,-0.0497607702772739,-0.044326490936305
"44","Araeopidius monachus",-0.0387057901189471,-0.0735406920601778,-0.02537286498397,-0.0497607702772742,-0.0443264909363071
"45","Limnephilus nogus",-0.0387057901189471,-0.0735406920601779,-0.0253728649839699,-0.0497607702772741,-0.0443264909363058
"46","Cramptonomyia spenceri",-0.0387057901189472,-0.0735406920601779,-0.02537286498397,-0.0497607702772741,-0.044326490936307
"47","Limnephilus externus",-0.0387057901189472,-0.0735406920601779,-0.02537286498397,-0.0497607702772741,-0.044326490936307
"48","Rhyacophila angelita",-0.0387057901189472,-0.0735406920601779,-0.02537286498397,-0.0497607702772741,-0.044326490936307
"49","Pseudothyatira cymatophoroides",-0.0387057901189472,-0.0735406920601779,-0.02537286498397,-0.0497607702772741,-0.044326490936307
"50","Epinotia albangulana",-0.0480724834148941,-0.00126071634057193,0.0208906511027981,-0.00937090954409501,0.00732777189154725
